strategy,asset,sharpe,psr,dsr,max_dd,total_return,n_trades,win_rate,is_candidate
momentum_medium,F_ES,0.08107483719353194,0.9768199422795371,0.0,0.2217335980652997,1.3165744211898032,6,0.4966887417218543,True
momentum_medium,F_CL,0.06938133015958098,0.9548922294370485,0.0,0.2704038973938138,1.365133614280488,14,0.49834437086092714,True
momentum_dual,F_ES,0.05369824358815905,0.9086903332791738,0.0,0.22579911853247409,0.404826270774876,10,0.1870860927152318,False
momentum_fast,F_GC,0.04813459172502022,0.8808358895494841,0.0,0.28590951559653466,0.4310566599949788,17,0.48841059602649006,False
momentum_dual,F_CL,0.04413228675972727,0.8610296529453001,0.0,0.25896297643949184,0.4028008594030834,13,0.17218543046357615,False
momentum_medium,F_GC,0.041835320428083904,0.8476800641268507,0.0,0.2991328282552319,0.34779979913308856,8,0.45695364238410596,False
mean_rev_rsi,F_GC,0.03927891984764919,0.8351932876834562,0.0,0.09440215496932247,0.15718306414926242,34,0.11092715231788079,False
momentum_dual,F_GC,0.03642165245612232,0.8131983426470194,0.0,0.18711969528436861,0.18508852011917787,11,0.20695364238410596,False
momentum_fast,F_ES,0.035018416502308546,0.8052937258319769,0.0,0.3540984186921403,0.35100506781136165,18,0.4900662251655629,False
mean_rev_rsi,F_CL,0.031168436569362166,0.7800839800061601,0.0,0.28558756791591594,0.19115867883119364,33,0.09105960264900662,False
mean_rev_bollinger,F_CL,0.03002061061672677,0.7698904168503418,0.0,0.10639090625920926,0.1167645234528576,32,0.04304635761589404,False
mean_rev_zscore,F_CL,0.03002061061672677,0.7698904168503418,0.0,0.10639090625920926,0.1167645234528576,32,0.04304635761589404,False
momentum_slow,F_CL,0.02993718432508053,0.7689622879712622,0.0,0.4549058832776494,0.2845651853914568,2,0.33278145695364236,False
mean_rev_rsi,F_ES,0.023412837919874578,0.7173052995665918,0.0,0.2669356297460241,0.11280708683401164,41,0.12417218543046357,False
mean_rev_bollinger,F_GC,0.0067700158525968975,0.5661656129234257,0.0,0.10582401812329627,0.01340979478421489,33,0.057947019867549666,False
mean_rev_zscore,F_GC,0.0067700158525968975,0.5661656129234257,0.0,0.10582401812329627,0.01340979478421489,33,0.057947019867549666,False
mean_rev_bollinger,F_ES,0.0029302979859803053,0.5286085689995388,0.0,0.18232148078355703,-0.0023973452514769455,32,0.04470198675496689,False
mean_rev_zscore,F_ES,0.0029302979859803053,0.5286085689995388,0.0,0.18232148078355703,-0.0023973452514769455,32,0.04470198675496689,False
momentum_fast,F_CL,-0.006087031338417145,0.44057205566696883,0.0,0.6323196972631936,-0.25205589796852934,25,0.4817880794701987,False
momentum_slow,F_ES,-0.01765700486987739,0.332207887225528,0.0,0.5133632761073934,-0.2225904407264968,2,0.3344370860927152,False
momentum_slow,F_GC,-0.03323633349802032,0.20641211988885733,0.0,0.37888771676005056,-0.24655227101804034,4,0.3294701986754967,False
